SURVEYID,YEAR,SENIOR,JUNIOR,SOPHOMORE,FRESHMAN,SCHOOL  ,COM,CAS,SAR,SHA,SED,QST,PARDEE,ENG,INTERNATIONAL_STUDENT,TRANSFER_STUDENT,GPA,TREATED,RESULT,SYLLABUS_NUM,SEEN_BEFORE,SURVEY_1,SURVEY_2,SURVEY_3,SURVEY_4,SURVEY_5,SURVEY_6
1,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.86,1,1,1,0,1,0,0,0,0,0
2,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.84,1,0,1,0,1,0,0,0,0,0
3,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.58,0,0,1,0,1,0,0,0,0,0
4,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,1,0,1,0,1,0,0,0,0,0
5,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.91,0,0,1,0,1,0,0,0,0,0
6,Senior,1,0,0,0,School of Hospitality Administration,0,0,0,1,0,0,0,0,0,0,3.8,0,0,1,0,1,0,0,0,0,0
7,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.63,1,1,1,0,1,0,0,0,0,0
8,Senior,1,0,0,0,Other,0,0,0,0,1,0,0,0,0,0,3.93,1,0,1,0,1,0,0,0,0,0
9,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.3,0,0,1,0,1,0,0,0,0,0
10,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.4,1,0,1,0,1,0,0,0,0,0
11,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.1,1,1,1,1,1,0,0,0,0,0
12,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,0,1,3.89,0,0,1,0,1,0,0,0,0,0
13,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.65,0,1,1,0,1,0,0,0,0,0
14,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.76,1,0,1,0,1,0,0,0,0,0
15,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
16,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.81,1,1,1,0,1,0,0,0,0,0
17,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.96,0,1,1,0,1,0,0,0,0,0
18,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,2.83,0,0,1,1,1,0,0,0,0,0
19,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.2,1,1,1,0,1,0,0,0,0,0
20,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.725,0,0,1,0,1,0,0,0,0,0
21,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.9,0,1,1,1,1,0,0,0,0,0
22,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.31,1,1,1,0,1,0,0,0,0,0
23,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,1,0,1,0,1,0,0,0,0,0
24,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.63,0,0,1,0,1,0,0,0,0,0
25,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
26,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0
27,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,2.88,0,0,1,0,1,0,0,0,0,0
28,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,1,0,3.4,0,1,1,0,1,0,0,0,0,0
29,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
30,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0,0
31,Sophomore,0,0,1,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.52,1,0,1,0,1,0,0,0,0,0
32,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.97,0,1,1,0,1,0,0,0,0,0
33,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.77,0,1,1,1,1,0,0,0,0,0
34,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.7,1,1,1,0,1,0,0,0,0,0
35,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,1,1,0,1,0,0,0,0,0
36,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.2,0,1,1,0,1,0,0,0,0,0
37,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.76,0,0,1,0,1,0,0,0,0,0
38,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
39,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.2,1,1,1,0,1,0,0,0,0,0
40,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.84,0,1,1,0,1,0,0,0,0,0
41,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.37,0,0,1,0,1,0,0,0,0,0
42,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,1,3.6,0,0,1,0,1,0,0,0,0,0
43,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.8,1,1,1,0,1,0,0,0,0,0
44,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,0,1,0,1,0,0,0,0,0
45,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,3.3,1,1,1,0,1,0,0,0,0,0
46,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,1,0,0,0,0,0
47,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,1,0,1,0,1,0,0,0,0,0
48,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.5,0,1,1,0,1,0,0,0,0,0
49,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.95,1,1,1,1,1,0,0,0,0,0
50,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.97,0,0,1,0,1,0,0,0,0,0
51,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.8,0,1,1,0,1,0,0,0,0,0
52,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,0,0,1,0,1,0,0,0,0,0
53,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.4,0,1,1,0,1,0,0,0,0,0
54,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.72,1,1,1,1,1,0,0,0,0,0
55,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.8,1,1,1,0,1,0,0,0,0,0
56,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.66,0,0,1,0,1,0,0,0,0,0
57,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,4.56,1,1,1,0,1,0,0,0,0,0
58,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,0,0,1,0,1,0,0,0,0,0
59,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.4,0,0,1,0,1,0,0,0,0,0
60,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.59,0,1,1,1,1,0,0,0,0,0
61,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,1,0,3.5,1,1,1,0,1,0,0,0,0,0
62,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,1,1,1,0,1,0,0,0,0,0
63,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.3,0,0,1,1,1,0,0,0,0,0
64,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,1,1,1,1,1,0,0,0,0,0
65,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.78,0,0,1,0,1,0,0,0,0,0
66,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,1,3.85,1,0,1,0,1,0,0,0,0,0
1,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.86,1,1,2,1,0,1,0,0,0,0
2,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.84,1,1,2,0,0,1,0,0,0,0
3,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.58,0,0,2,0,0,1,0,0,0,0
4,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,1,0,2,0,0,1,0,0,0,0
5,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.91,1,0,2,0,0,1,0,0,0,0
6,Senior,1,0,0,0,School of Hospitality Administration,0,0,0,1,0,0,0,0,0,0,3.8,0,1,2,0,0,1,0,0,0,0
7,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.63,0,1,2,0,0,1,0,0,0,0
8,Senior,1,0,0,0,Other,0,0,0,0,1,0,0,0,0,0,3.93,1,0,2,0,0,1,0,0,0,0
9,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.3,1,0,2,0,0,1,0,0,0,0
10,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.4,1,0,2,0,0,1,0,0,0,0
11,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.1,0,0,2,0,0,1,0,0,0,0
12,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,0,1,3.89,1,1,2,0,0,1,0,0,0,0
13,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.65,1,0,2,0,0,1,0,0,0,0
14,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.76,0,0,2,0,0,1,0,0,0,0
15,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0
16,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.81,1,0,2,0,0,1,0,0,0,0
17,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.96,1,0,2,0,0,1,0,0,0,0
18,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,2.83,0,0,2,0,0,1,0,0,0,0
19,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.2,0,1,2,0,0,1,0,0,0,0
20,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.725,1,1,2,0,0,1,0,0,0,0
21,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.9,0,1,2,0,0,1,0,0,0,0
22,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.31,0,0,2,0,0,1,0,0,0,0
23,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,1,1,2,0,0,1,0,0,0,0
24,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.63,0,0,2,0,0,1,0,0,0,0
25,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,1,0,2,0,0,1,0,0,0,0
26,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,0,1,2,0,0,1,0,0,0,0
27,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,2.88,1,1,2,0,0,1,0,0,0,0
28,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,1,0,3.4,1,0,2,0,0,1,0,0,0,0
29,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,0,1,2,0,0,1,0,0,0,0
30,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,0,1,0,0,0,0
31,Sophomore,0,0,1,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.52,1,1,2,0,0,1,0,0,0,0
32,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.97,0,0,2,0,0,1,0,0,0,0
33,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.77,1,1,2,0,0,1,0,0,0,0
34,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.7,1,1,2,0,0,1,0,0,0,0
35,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,1,2,0,0,1,0,0,0,0
36,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.2,1,0,2,0,0,1,0,0,0,0
37,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.76,1,1,2,1,0,1,0,0,0,0
38,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,0,1,2,0,0,1,0,0,0,0
39,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.2,1,1,2,0,0,1,0,0,0,0
40,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.84,0,1,2,0,0,1,0,0,0,0
41,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.37,0,1,2,1,0,1,0,0,0,0
42,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,1,3.6,1,0,2,1,0,1,0,0,0,0
43,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.8,1,1,2,1,0,1,0,0,0,0
44,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,0,0,2,0,0,1,0,0,0,0
45,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,3.3,0,0,2,1,0,1,0,0,0,0
46,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,1,0,2,0,0,1,0,0,0,0
47,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,0,2,0,0,1,0,0,0,0
48,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.5,1,0,2,0,0,1,0,0,0,0
49,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.95,0,0,2,0,0,1,0,0,0,0
50,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.97,1,0,2,0,0,1,0,0,0,0
51,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.8,1,1,2,0,0,1,0,0,0,0
52,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,1,1,2,0,0,1,0,0,0,0
53,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.4,0,1,2,0,0,1,0,0,0,0
54,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.72,1,0,2,0,0,1,0,0,0,0
55,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.8,1,0,2,0,0,1,0,0,0,0
56,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.66,0,1,2,0,0,1,0,0,0,0
57,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,4.56,0,0,2,1,0,1,0,0,0,0
58,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,0,0,2,1,0,1,0,0,0,0
59,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.4,0,1,2,1,0,1,0,0,0,0
60,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.59,1,1,2,0,0,1,0,0,0,0
61,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,1,0,3.5,0,1,2,0,0,1,0,0,0,0
62,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,0,0,2,0,0,1,0,0,0,0
63,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.3,1,0,2,1,0,1,0,0,0,0
64,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,0,1,2,0,0,1,0,0,0,0
65,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.78,1,1,2,0,0,1,0,0,0,0
66,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,1,3.85,0,1,2,0,0,1,0,0,0,0
1,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.86,1,1,3,0,0,0,1,0,0,0
2,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.84,0,0,3,0,0,0,1,0,0,0
3,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.58,1,1,3,0,0,0,1,0,0,0
4,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,0,3,1,0,0,1,0,0,0
5,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.91,1,0,3,0,0,0,1,0,0,0
6,Senior,1,0,0,0,School of Hospitality Administration,0,0,0,1,0,0,0,0,0,0,3.8,1,1,3,0,0,0,1,0,0,0
7,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.63,0,1,3,0,0,0,1,0,0,0
8,Senior,1,0,0,0,Other,0,0,0,0,1,0,0,0,0,0,3.93,1,0,3,0,0,0,1,0,0,0
9,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.3,0,0,3,0,0,0,1,0,0,0
10,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.4,1,0,3,0,0,0,1,0,0,0
11,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.1,0,0,3,0,0,0,1,0,0,0
12,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,0,1,3.89,1,1,3,0,0,0,1,0,0,0
13,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.65,1,0,3,0,0,0,1,0,0,0
14,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.76,0,1,3,0,0,0,1,0,0,0
15,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0
16,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.81,1,0,3,0,0,0,1,0,0,0
17,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.96,0,1,3,0,0,0,1,0,0,0
18,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,2.83,1,1,3,0,0,0,1,0,0,0
19,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.2,0,1,3,0,0,0,1,0,0,0
20,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.725,1,0,3,0,0,0,1,0,0,0
21,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.9,0,1,3,0,0,0,1,0,0,0
22,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.31,1,0,3,1,0,0,1,0,0,0
23,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,0,0,3,0,0,0,1,0,0,0
24,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.63,0,0,3,0,0,0,1,0,0,0
25,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,0,3,0,0,0,1,0,0,0
26,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,1,3,0,0,0,1,0,0,0
27,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,2.88,1,0,3,0,0,0,1,0,0,0
28,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,1,0,3.4,0,1,3,0,0,0,1,0,0,0
29,Junior,0,1,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,0,0,3,0,0,0,1,0,0,0
30,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,4,1,1,3,0,0,0,1,0,0,0
31,Sophomore,0,0,1,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.52,0,0,3,0,0,0,1,0,0,0
32,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.97,0,0,3,0,0,0,1,0,0,0
33,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.77,0,1,3,0,0,0,1,0,0,0
34,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.7,1,1,3,0,0,0,1,0,0,0
35,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,0,3,0,0,0,1,0,0,0
36,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.2,1,0,3,0,0,0,1,0,0,0
37,Senior,1,0,0,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.76,0,1,3,0,0,0,1,0,0,0
38,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,1,1,3,0,0,0,1,0,0,0
39,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.2,1,0,3,0,0,0,1,0,0,0
40,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.84,1,1,3,1,0,0,1,0,0,0
41,Senior,1,0,0,0,College of Engineering,0,0,0,0,0,0,0,1,0,0,3.37,1,1,3,0,0,0,1,0,0,0
42,Senior,1,0,0,0,Sargent,0,0,1,0,0,0,0,0,0,1,3.6,1,0,3,1,0,0,1,0,0,0
43,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.8,0,0,3,0,0,0,1,0,0,0
44,Freshman,0,0,0,1,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,,1,1,3,0,0,0,1,0,0,0
45,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,3.3,1,0,3,0,0,0,1,0,0,0
46,Freshman,0,0,0,1,Questrom,0,0,0,0,0,1,0,0,0,0,,0,0,3,0,0,0,1,0,0,0
47,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.7,0,1,3,1,0,0,1,0,0,0
48,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.5,0,1,3,0,0,0,1,0,0,0
49,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.95,1,0,3,0,0,0,1,0,0,0
50,Junior,0,1,0,0,Sargent,0,0,1,0,0,0,0,0,0,0,3.97,0,1,3,0,0,0,1,0,0,0
51,Sophomore,0,0,1,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,1,0,3.8,1,0,3,1,0,0,1,0,0,0
52,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,1,1,3,1,0,0,1,0,0,0
53,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.4,0,1,3,0,0,0,1,0,0,0
54,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.72,1,0,3,0,0,0,1,0,0,0
55,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,1,3.8,0,0,3,0,0,0,1,0,0,0
56,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.66,0,1,3,0,0,0,1,0,0,0
57,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,1,1,4.56,0,1,3,0,0,0,1,0,0,0
58,Senior,1,0,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.7,1,1,3,1,0,0,1,0,0,0
59,Sophomore,0,0,1,0,College of Communication,1,0,0,0,0,0,0,0,0,0,3.4,0,0,3,0,0,0,1,0,0,0
60,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,0,0,3.59,1,0,3,0,0,0,1,0,0,0
61,Senior,1,0,0,0,Pardee,0,0,0,0,0,0,1,0,1,0,3.5,0,1,3,0,0,0,1,0,0,0
62,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.7,1,0,3,0,0,0,1,0,0,0
63,Senior,1,0,0,0,College of Arts and Sciences,0,1,0,0,0,0,0,0,0,0,3.3,0,0,3,0,0,0,1,0,0,0
64,Junior,0,1,0,0,Questrom,0,0,0,0,0,1,0,0,1,0,3.5,0,1,3,0,0,0,1,0,0,0
